"","names.DB23_mun."
"228","Photovoltaic_system_MP"
"229","Acoustic_insulation_MP"
"230","Acoustic_insulation_outside_noise_MP"
"231","Internal_insulation_MP"
"232","Different_floors_internal_insulation_MP"
"233","Other_specfy_MP"
"234","Inner_area_MP"
"235","A_mun_MP"
"236","B_mun_MP"
"237","C_mun_MP"
"238","D_mun_MP"
"239","E_mun_MP"
"240","F_mun_MP"
"241","Students_grade_1"
"242","Classes_grade_1"
"243","Students_per_class_1"
"244","Students_grade_2"
"245","Classes_grade_2"
"246","Students_per_class_2"
"247","Students_grade_3"
"248","Classes_grade_3"
"249","Students_per_class_3"
"250","Students_grade_4"
"251","Classes_grade_4"
"252","Students_per_class_4"
"253","Students_grade_5"
"254","Classes_grade_5"
"255","Students_per_class_5"
"256","Students_grade_6"
"257","Classes_grade_6"
"258","Students_per_class_6"
"259","Students_grade_7"
"260","Classes_grade_7"
"261","Students_per_class_7"
"262","Students_grade_8"
"263","Classes_grade_8"
"264","Students_per_class_8"
"265","Students_grade_9"
"266","Classes_grade_9"
"267","Students_per_class_9"
"268","Students_grade_10"
"269","Classes_grade_10"
"270","Students_per_class_10"
"271","Students_grade_11"
"272","Classes_grade_11"
"273","Students_per_class_11"
"274","Students_grade_12"
"275","Classes_grade_12"
"276","Students_per_class_12"
"277","Students_grade_13"
"278","Classes_grade_13"
"279","Students_per_class_13"
"280","Tot_Students"
"281","Tot_Classes"
"282","Students_per_class_Tot"
"283","Availability"
"284","BB_Activation_status"
"285","Tot_teachers"
"286","Teachers_per_student"
"287","Teachers_per_class"
